Komoditi,Tanggal, Harga Petani , Harga Pengecer 
Jagung Pipil Kering,11/26/2022,,
Jagung Pipil Kering,11/27/2022,,
Jagung Pipil Kering,11/28/2022,,
Jagung Pipil Kering,11/29/2022,,
Jagung Pipil Kering,11/30/2022,,
Jagung Pipil Kering,12/1/2022," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,12/2/2022," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,12/3/2022,,
Jagung Pipil Kering,12/4/2022,,
Jagung Pipil Kering,12/5/2022," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,12/6/2022," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,12/7/2022," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,12/8/2022," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,12/9/2022," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,12/10/2022,,
Jagung Pipil Kering,12/11/2022,,
Jagung Pipil Kering,12/12/2022," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,12/13/2022," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,12/14/2022," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,12/15/2022," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,12/16/2022," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,12/17/2022,,
Jagung Pipil Kering,12/18/2022,,
Jagung Pipil Kering,12/19/2022," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,12/20/2022," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,12/21/2022," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,12/22/2022," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,12/23/2022," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,12/24/2022,,
Jagung Pipil Kering,12/25/2022,,
Jagung Pipil Kering,12/26/2022," Rp3,400.00 "," Rp3,700.00 "
Jagung Pipil Kering,12/27/2022," Rp3,400.00 "," Rp3,700.00 "
Jagung Pipil Kering,12/28/2022," Rp3,400.00 "," Rp3,700.00 "
Jagung Pipil Kering,12/29/2022," Rp3,400.00 "," Rp3,700.00 "
Jagung Pipil Kering,12/30/2022," Rp3,400.00 "," Rp3,700.00 "
Jagung Pipil Kering,12/31/2022,,
Jagung Pipil Kering,1/1/2023,,
Jagung Pipil Kering,1/2/2023," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,1/3/2023," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,1/4/2023," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,1/5/2023," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,1/6/2023," Rp3,400.00 "," Rp3,600.00 "
Jagung Pipil Kering,1/7/2023,,
Jagung Pipil Kering,1/8/2023,,
Jagung Pipil Kering,1/9/2023," Rp3,500.00 "," Rp3,800.00 "
Jagung Pipil Kering,1/10/2023," Rp3,500.00 "," Rp3,800.00 "
Jagung Pipil Kering,1/11/2023," Rp3,500.00 "," Rp3,800.00 "
Jagung Pipil Kering,1/12/2023," Rp3,500.00 "," Rp3,800.00 "
Jagung Pipil Kering,1/13/2023," Rp3,500.00 "," Rp3,800.00 "
Jagung Pipil Kering,1/14/2023,,
Jagung Pipil Kering,1/15/2023,,
Jagung Pipil Kering,1/16/2023," Rp3,600.00 "," Rp3,900.00 "
Jagung Pipil Kering,1/17/2023," Rp3,600.00 "," Rp3,900.00 "
Jagung Pipil Kering,1/18/2023," Rp3,600.00 "," Rp3,900.00 "
Jagung Pipil Kering,1/19/2023," Rp3,600.00 "," Rp3,900.00 "
Jagung Pipil Kering,1/20/2023," Rp3,600.00 "," Rp3,900.00 "
Jagung Pipil Kering,1/21/2023,,
Jagung Pipil Kering,1/22/2023,,
Jagung Pipil Kering,1/23/2023," Rp3,800.00 "," Rp4,200.00 "
Jagung Pipil Kering,1/24/2023," Rp3,800.00 "," Rp4,200.00 "
Jagung Pipil Kering,1/25/2023," Rp3,800.00 "," Rp4,200.00 "
Jagung Pipil Kering,1/26/2023," Rp3,800.00 "," Rp4,200.00 "
Jagung Pipil Kering,1/27/2023," Rp3,800.00 "," Rp4,200.00 "
Jagung Pipil Kering,1/28/2023,,
Jagung Pipil Kering,1/29/2023,,
Jagung Pipil Kering,1/30/2023," Rp3,800.00 "," Rp4,200.00 "
Jagung Pipil Kering,1/31/2023," Rp3,800.00 "," Rp4,200.00 "
Jagung Pipil Kering,2/1/2023," Rp3,800.00 "," Rp4,200.00 "
Jagung Pipil Kering,2/2/2023," Rp3,800.00 "," Rp4,200.00 "
Jagung Pipil Kering,2/3/2023," Rp3,800.00 "," Rp4,200.00 "
Jagung Pipil Kering,2/4/2023,,
Jagung Pipil Kering,2/5/2023,,
Jagung Pipil Kering,2/6/2023," Rp3,900.00 "," Rp4,300.00 "
Jagung Pipil Kering,2/7/2023," Rp3,900.00 "," Rp4,300.00 "
Jagung Pipil Kering,2/8/2023," Rp3,900.00 "," Rp4,300.00 "
Jagung Pipil Kering,2/9/2023," Rp3,900.00 "," Rp4,300.00 "
Jagung Pipil Kering,2/10/2023," Rp3,900.00 "," Rp4,300.00 "
Jagung Pipil Kering,2/11/2023,,
Jagung Pipil Kering,2/12/2023,,
Jagung Pipil Kering,2/13/2023," Rp3,900.00 "," Rp4,300.00 "
Jagung Pipil Kering,2/14/2023," Rp3,900.00 "," Rp4,300.00 "
Jagung Pipil Kering,2/15/2023," Rp3,900.00 "," Rp4,300.00 "
